,RN,RY,DN,DY,total
softball,0.0,0.00561797752809,0.0,0.0,2.0
liability,0.0,0.0308988764045,0.0378006872852,0.0,22.0
shortcomings,0.0,0.00561797752809,0.0103092783505,0.0,5.0
september,0.0,0.061797752809,0.137457044674,0.0,62.0
developed,0.0,0.0112359550562,0.0171821305842,0.0,9.0
thought-out,0.0,0.00280898876404,0.00343642611684,0.0,2.0
bigoted,0.0,0.00561797752809,0.0,0.0,2.0
milwaukee,0.0,0.00280898876404,0.00343642611684,0.0,2.0
sale,0.0,0.0168539325843,0.00687285223368,0.136363636364,14.0
resort,0.0,0.00561797752809,0.00343642611684,0.0,3.0
alter,0.0,0.00842696629213,0.0137457044674,0.0,7.0
somebody,0.0,0.0140449438202,0.0309278350515,0.0,14.0
framework,0.0,0.00561797752809,0.00343642611684,0.0227272727273,4.0
communities,0.0,0.0505617977528,0.168384879725,0.136363636364,73.0
bigger,0.0,0.00280898876404,0.00687285223368,0.0,3.0
instructions,0.0,0.00561797752809,0.00343642611684,0.0,3.0
stilley,0.0,0.00561797752809,0.0,0.0,2.0
gun,0.0,0.00280898876404,0.00343642611684,0.0,2.0
expect,0.0,0.0140449438202,0.0171821305842,0.0,10.0
adhere,0.0,0.00280898876404,0.00343642611684,0.0,2.0
health,0.0,0.126404494382,0.240549828179,0.522727272727,138.0
hill,0.0,0.0140449438202,0.00343642611684,0.0227272727273,7.0
wisconsin,0.0,0.123595505618,0.0756013745704,0.0909090909091,70.0
teach,0.0,0.00280898876404,0.0378006872852,0.0227272727273,13.0
circuit,0.0,0.00280898876404,0.0,0.0227272727273,2.0
disincentive,0.0,0.00561797752809,0.00343642611684,0.0,3.0
feed,0.0,0.00280898876404,0.00343642611684,0.0,2.0
feet,0.0,0.00842696629213,0.00687285223368,0.0454545454545,7.0
sympathy,0.0,0.0112359550562,0.0,0.0,4.0
revolution,0.0,0.00561797752809,0.0,0.0,2.0
fees,0.0,0.0168539325843,0.0687285223368,0.0,26.0
gpo,0.0,0.0140449438202,0.0103092783505,0.0,8.0
passed,0.0,0.0926966292135,0.116838487973,0.0909090909091,71.0
aristocracy,0.0,0.00561797752809,0.0,0.0,2.0
option,0.0,0.0224719101124,0.0,0.0,8.0
hotel,0.0,0.00561797752809,0.0,0.0,2.0
everglades,0.0,0.00280898876404,0.00343642611684,0.0,2.0
treasures,0.0,0.00280898876404,0.0,0.0454545454545,3.0
convinced,0.0,0.00842696629213,0.0,0.0,3.0
kind,0.0,0.0365168539326,0.0446735395189,0.113636363636,31.0
double,0.0,0.00561797752809,0.0103092783505,0.0,5.0
instruction,0.0,0.00561797752809,0.00687285223368,0.0227272727273,5.0
architect,0.0,0.0252808988764,0.00687285223368,0.0,11.0
risks,0.0,0.00280898876404,0.0103092783505,0.0,4.0
cleaner,0.0,0.00842696629213,0.00343642611684,0.0,4.0
motivation,0.0,0.00280898876404,0.00343642611684,0.0,2.0
outstanding,0.0,0.00842696629213,0.00343642611684,0.0,4.0
strengthen,0.0,0.0168539325843,0.020618556701,0.0,12.0
imports,0.0,0.0140449438202,0.0137457044674,0.0,9.0
suspicious,0.0,0.00280898876404,0.0103092783505,0.0,4.0
alike,0.0,0.00280898876404,0.00343642611684,0.0227272727273,3.0
conforming,0.0,0.00561797752809,0.0,0.0,2.0
entirety,0.0,0.00561797752809,0.0,0.0,2.0
finding,0.0,0.00842696629213,0.0103092783505,0.0,6.0
added,0.0,0.0112359550562,0.0652920962199,0.0227272727273,24.0
warnings,0.0,0.00842696629213,0.0,0.0,3.0
reach,0.0,0.0168539325843,0.0274914089347,0.0227272727273,15.0
react,0.0,0.00280898876404,0.00343642611684,0.0,2.0
75,0.0,0.00561797752809,0.0137457044674,0.0227272727273,7.0
72,0.0,0.00280898876404,0.00343642611684,0.0,2.0
70,0.0,0.0112359550562,0.00343642611684,0.0,5.0
achievement,0.0,0.00280898876404,0.0240549828179,0.0,8.0
stands,0.0,0.00842696629213,0.0274914089347,0.0,11.0
quorum,0.0,0.0140449438202,0.0446735395189,0.0,18.0
traditional,0.0,0.00561797752809,0.00343642611684,0.0,3.0
institutions,0.0,0.0168539325843,0.0343642611684,0.0,16.0
excessive,0.0,0.0168539325843,0.00343642611684,0.0,7.0
costing,0.0,0.00561797752809,0.0,0.0,2.0
h.would,0.0,0.0112359550562,0.0549828178694,0.0,20.0
penalty,0.0,0.0112359550562,0.0103092783505,0.0,7.0
founding,0.0,0.00842696629213,0.00343642611684,0.0,4.0
goes,0.0,0.0393258426966,0.0274914089347,0.0,22.0
invoke,0.0,0.00280898876404,0.00343642611684,0.0,2.0
shared,0.0,0.00561797752809,0.0103092783505,0.0,5.0
determines,0.0,0.0112359550562,0.0171821305842,0.0,9.0
activity,0.0,0.00561797752809,0.0378006872852,0.0,13.0
bars,0.0,0.00280898876404,0.00687285223368,0.0,3.0
